id_respondent,tech_date_response,tech_language_survey,op_internet_voting,behav_internet_voting_intent,op_internet_voting_confidence,op_coercion_concern,op_privacy_concern,op_fraud_concern,op_turnout_increase,op_voting_ease,op_accuracy_improvement,ses_age_group,ses_gender,ses_region
12362241705,2019-09-15,english,0.0,0.0,0.0,0.333,0.0,0.333,0.333,0.333,0.667,35-44,female,capitale_nationale
58698744587,2019-09-16,french,0.0,0.0,0.0,0.0,0.0,0.333,0.0,0.0,0.333,25-34,male,montreal
31461159696,2019-09-16,french,1.0,1.0,0.667,0.667,0.333,0.667,0.667,0.333,0.667,35-44,male,lanaudiere
33979336340,2019-09-16,french,0.0,0.0,0.333,0.0,0.0,0.333,0.0,0.0,0.667,35-44,male,cote_nord
35642231981,2019-09-16,french,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35-44,male,outaouais
88563535555,2019-09-16,french,0.667,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,45-54,male,chaudiere_appalaches
28280912991,2019-09-16,french,0.0,0.0,0.333,0.0,0.0,0.333,0.0,0.0,0.0,35-44,male,capitale_nationale
73613615126,2019-09-16,french,0.0,0.0,0.333,0.0,0.0,0.333,0.0,0.0,0.0,65+,male,capitale_nationale
44764060314,2019-09-16,french,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35-44,male,mauricie
88295354207,2019-09-16,french,0.0,0.0,0.333,0.0,0.0,0.333,0.0,0.0,0.333,55-64,female,capitale_nationale
16305546868,2019-09-16,french,0.667,0.333,0.667,0.0,0.667,0.667,0.0,0.0,1.0,35-44,male,monteregie
12828729038,2019-09-16,french,0.0,0.0,0.333,0.0,0.333,0.333,0.0,0.0,0.0,55-64,female,outaouais
64945286827,2019-09-16,french,1.0,0.667,0.667,0.333,0.333,0.667,0.333,0.333,1.0,65+,male,cote_nord
40050085943,2019-09-16,french,0.0,0.0,0.0,0.0,0.0,0.667,0.0,0.0,0.0,45-54,male,outaouais
66780573562,2019-09-16,french,0.0,0.0,0.0,0.667,0.0,0.333,0.0,0.0,0.0,35-44,male,outaouais
62275336174,2019-09-16,french,0.0,0.0,0.0,0.0,0.0,0.333,0.0,0.0,0.667,55-64,male,nord_du_quebec
65401290965,2019-09-16,french,0.0,0.0,0.0,0.0,0.333,0.333,0.0,0.0,0.0,35-44,female,monteregie
68426155345,2019-09-16,english,0.333,0.0,0.333,0.333,0.333,0.667,0.0,0.0,1.0,18-24,male,outaouais
77265290357,2019-09-16,french,0.0,0.0,0.0,0.0,0.333,0.333,0.0,0.0,0.333,25-34,male,cote_nord
70152136781,2019-09-16,english,1.0,1.0,0.667,0.333,0.0,1.0,0.667,0.667,1.0,55-64,male,cote_nord
88503881784,2019-09-16,french,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.0,0.0,45-54,male,montreal
98689549015,2019-09-16,french,0.0,0.0,0.0,0.333,0.333,0.333,0.0,0.0,0.0,65+,male,outaouais
19979375404,2019-09-16,english,0.0,0.0,0.0,0.333,0.0,0.333,0.0,0.0,0.0,35-44,male,nord_du_quebec
98247356394,2019-09-16,french,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35-44,male,outaouais
74810569850,2019-09-16,french,0.0,0.0,0.0,0.0,0.0,0.333,0.0,0.0,0.0,25-34,female,outaouais
15060096922,2019-09-16,french,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25-34,male,outaouais
12812718215,2019-09-16,english,1.0,1.0,1.0,0.333,1.0,1.0,0.333,0.333,0.667,18-24,male,monteregie
22512345066,2019-09-16,french,1.0,1.0,1.0,1.0,1.0,1.0,0.667,0.667,0.667,45-54,female,outaouais
61766655736,2019-09-16,english,0.667,0.0,0.333,0.0,0.0,0.667,0.0,0.0,0.333,55-64,male,cote_nord
58078879100,2019-09-16,french,0.0,0.0,0.0,0.0,0.0,0.333,0.0,0.0,0.333,45-54,male,nord_du_quebec
77611942168,2019-09-17,english,0.0,0.0,0.0,0.0,0.333,0.667,0.0,0.0,0.0,35-44,female,outaouais
67763249578,2019-09-16,english,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25-34,female,cote_nord
79496635999,2019-09-16,french,0.0,0.0,0.333,0.667,0.0,0.333,0.0,0.0,0.333,25-34,female,cote_nord
44268547713,2019-09-16,french,0.0,0.333,0.0,0.333,0.333,0.667,0.0,0.333,0.333,55-64,male,outaouais
53502317733,2019-09-16,french,0.667,0.667,1.0,1.0,0.333,1.0,0.0,0.333,0.667,25-34,male,outaouais
45548260065,2019-09-16,french,0.0,0.0,0.0,0.333,0.333,0.333,0.0,0.0,0.333,25-34,female,montreal
54439778659,2019-09-16,french,1.0,0.667,1.0,1.0,0.0,1.0,0.667,0.667,1.0,25-34,male,outaouais
93976342848,2019-09-16,french,0.0,0.0,0.333,0.0,0.333,0.667,0.0,0.0,0.667,25-34,female,montreal
50090892600,2019-09-16,french,0.0,0.0,0.333,0.333,0.333,0.333,0.0,0.0,0.0,25-34,male,montreal
85454812939,2019-09-16,french,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35-44,female,nord_du_quebec
79359413492,2019-09-16,english,1.0,1.0,0.667,0.667,1.0,1.0,0.667,0.333,1.0,65+,male,cote_nord
39073246468,2019-09-16,english,0.333,0.0,0.333,0.333,0.667,1.0,0.0,0.0,0.333,45-54,male,nord_du_quebec
40885726444,2019-09-16,english,0.0,0.0,0.0,0.0,0.333,0.333,0.333,0.0,0.0,25-34,male,lanaudiere
14064995307,2019-09-16,english,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35-44,female,cote_nord
90728086448,2019-09-16,french,0.0,0.0,0.667,0.0,0.0,0.667,0.0,0.0,0.333,25-34,female,nord_du_quebec
87108446026,2019-09-16,french,0.0,0.0,0.333,0.0,0.0,0.333,0.0,0.0,0.333,35-44,male,mauricie
15046874121,2019-09-16,french,1.0,1.0,0.667,0.333,0.333,1.0,0.333,0.333,1.0,55-64,female,capitale_nationale
10962273835,2019-09-16,french,0.0,0.0,0.333,0.0,0.0,0.333,0.0,0.0,0.333,25-34,female,laval
48330127749,2019-09-16,french,0.0,0.0,0.0,0.0,0.333,0.0,0.333,0.0,0.0,25-34,male,centre_du_quebec
34360927700,2019-09-16,french,1.0,0.667,0.667,0.667,0.333,1.0,0.667,0.667,0.667,45-54,male,capitale_nationale
46923477678,2019-09-16,french,0.0,0.0,0.0,0.333,0.0,0.667,0.667,0.333,0.0,55-64,male,outaouais
70279758924,2019-09-16,english,0.0,0.0,0.0,0.0,0.0,0.333,0.0,0.0,0.0,25-34,female,cote_nord
33612147614,2019-09-16,english,0.0,0.0,0.0,0.0,0.0,0.667,0.0,0.0,0.0,35-44,male,cote_nord
52738924864,2019-09-16,french,0.333,0.0,0.0,0.0,0.0,0.333,0.0,0.0,0.0,45-54,male,capitale_nationale
18480057303,2019-09-16,english,0.0,0.0,0.0,0.0,0.0,0.333,0.0,0.0,0.333,55-64,male,cote_nord
75894448988,2019-09-16,french,0.667,0.667,0.333,0.333,0.333,0.667,0.333,0.667,0.667,35-44,female,capitale_nationale
51200583472,2019-09-16,french,0.0,0.0,0.333,0.0,0.0,0.333,0.0,0.0,0.333,45-54,female,capitale_nationale
90706465140,2019-09-16,french,0.0,0.0,0.0,0.0,0.0,0.333,0.0,0.0,0.0,45-54,female,bas_saint_laurent
44124732160,2019-09-16,english,1.0,1.0,1.0,0.667,0.667,1.0,0.667,0.667,1.0,25-34,male,cote_nord
24208010414,2019-09-16,french,0.0,0.333,0.0,0.0,0.333,0.333,0.0,0.0,0.333,45-54,male,outaouais
81815094600,2019-09-16,french,1.0,1.0,1.0,1.0,0.333,1.0,0.333,0.667,1.0,45-54,female,capitale_nationale
92265976223,2019-09-16,french,0.0,0.0,0.0,0.0,0.0,0.667,0.0,0.0,0.0,25-34,male,laval
68637317088,2019-09-16,english,0.0,0.0,0.0,0.333,0.333,0.333,0.0,0.0,0.0,25-34,female,cote_nord
56847916699,2019-09-16,french,0.333,0.0,0.333,0.0,0.333,0.667,0.0,0.0,0.333,65+,female,capitale_nationale
59085884582,2019-09-16,french,0.0,0.0,0.0,0.333,0.333,0.333,0.0,0.333,0.333,35-44,male,capitale_nationale
59429680780,2019-09-16,french,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.667,35-44,male,capitale_nationale
99424222657,2019-09-16,french,0.333,0.0,0.333,0.0,0.0,0.333,0.0,0.0,0.333,35-44,female,capitale_nationale
60596432150,2019-09-16,french,0.0,0.0,0.333,0.0,0.0,0.333,0.0,0.0,,35-44,female,mauricie
82714443919,2019-09-16,french,0.0,0.0,0.333,0.0,0.0,1.0,0.0,0.0,0.333,55-64,male,capitale_nationale
58271087379,2019-09-16,french,0.0,0.0,0.333,0.333,0.333,1.0,0.0,0.0,0.333,25-34,female,mauricie
60657625776,2019-09-16,french,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,35-44,female,capitale_nationale
37829031778,2019-09-16,french,0.333,0.0,0.333,0.0,0.333,0.667,0.0,0.0,0.667,55-64,male,capitale_nationale
90930047630,2019-09-16,french,0.0,0.0,0.0,0.0,0.0,0.333,0.0,0.0,0.0,35-44,female,capitale_nationale
84629127505,2019-09-16,french,0.0,0.0,0.0,0.0,0.0,0.333,0.333,0.333,0.333,35-44,male,capitale_nationale
37816039021,2019-09-16,french,0.333,0.0,0.333,0.667,0.0,0.333,0.0,0.0,0.0,35-44,male,capitale_nationale
61914124870,2019-09-16,french,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45-54,male,capitale_nationale
15371716720,2019-09-16,french,0.0,0.0,0.333,0.0,0.0,0.667,0.0,0.0,0.0,35-44,male,capitale_nationale
20637139560,2019-09-16,french,0.0,0.0,0.0,0.333,0.0,0.333,0.0,0.0,0.667,45-54,female,outaouais
91773467738,2019-09-16,french,0.0,0.0,0.333,0.0,0.333,0.333,0.0,0.0,0.333,45-54,female,capitale_nationale
76891420309,2019-09-16,english,1.0,1.0,1.0,1.0,1.0,1.0,0.333,0.333,1.0,45-54,female,cote_nord
82988424851,2019-09-16,french,0.667,0.667,0.667,0.0,1.0,0.667,0.333,0.333,0.667,45-54,female,mauricie
39006436048,2019-09-16,french,0.0,0.0,0.333,0.333,0.333,0.333,0.0,0.0,1.0,35-44,female,saguenay_lac_saint_jean
28818060753,2019-09-16,french,0.0,0.0,0.0,0.0,0.0,0.333,0.0,0.0,0.333,25-34,male,capitale_nationale
18725913341,2019-09-16,french,0.0,0.0,0.0,0.333,0.333,0.333,0.0,0.0,0.333,35-44,female,mauricie
52570735103,2019-09-16,french,1.0,0.667,1.0,0.667,0.0,1.0,0.333,0.333,0.333,35-44,female,mauricie
67029787809,2019-09-16,french,0.0,0.0,0.333,0.0,0.0,0.667,0.0,0.0,1.0,35-44,male,montreal
55586813367,2019-09-16,french,0.0,0.0,0.0,0.0,0.0,0.333,0.0,0.0,0.0,55-64,male,capitale_nationale
97912784057,2019-09-16,french,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35-44,male,capitale_nationale
62833861253,2019-09-16,french,0.0,0.0,0.0,0.0,0.0,0.333,0.0,0.0,0.0,25-34,male,saguenay_lac_saint_jean
41794536572,2019-09-16,french,0.667,0.333,1.0,0.333,0.333,1.0,0.667,0.333,0.667,65+,male,capitale_nationale
98744731713,2019-09-16,french,0.0,0.0,0.0,0.0,0.333,0.333,0.0,0.0,0.0,45-54,female,mauricie
20986276564,2019-09-16,french,0.333,0.0,0.667,0.0,0.0,1.0,0.0,0.0,0.333,35-44,male,capitale_nationale
78957129877,2019-09-16,french,0.667,0.667,0.667,1.0,1.0,0.667,0.333,0.333,0.333,55-64,female,capitale_nationale
94399691572,2019-09-16,french,0.0,0.0,0.0,0.0,0.0,0.333,0.0,0.0,0.667,65+,female,capitale_nationale
53737259261,2019-09-16,french,1.0,1.0,1.0,1.0,1.0,1.0,0.667,0.667,1.0,45-54,female,mauricie
41272149693,2019-09-16,french,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35-44,female,capitale_nationale
16938556587,2019-09-16,french,0.0,0.0,0.0,0.0,1.0,0.667,0.0,0.0,0.0,65+,male,monteregie
68998996774,2019-09-16,french,0.0,0.0,0.0,0.0,0.0,0.333,0.0,0.0,0.0,35-44,male,outaouais
72941769220,2019-09-16,french,0.0,0.333,0.333,0.0,0.0,0.0,0.0,0.0,0.333,45-54,male,capitale_nationale
33825366833,2019-09-16,french,0.0,0.0,0.0,0.0,0.0,0.333,0.0,0.0,0.667,35-44,male,capitale_nationale
79103195854,2019-09-16,french,1.0,1.0,1.0,0.667,0.667,1.0,0.667,0.333,1.0,55-64,female,mauricie
27386690958,2019-09-16,french,0.0,0.0,0.0,0.333,0.333,0.333,0.0,0.0,0.0,25-34,female,cote_nord
43743611019,2019-09-16,french,0.0,0.0,0.333,0.0,0.0,0.333,0.0,0.0,,25-34,female,cote_nord
93460082063,2019-09-16,french,0.0,0.0,0.0,0.0,0.0,0.333,0.0,0.0,0.0,65+,male,cote_nord
93282793589,2019-09-16,french,0.0,0.0,0.333,0.0,0.333,0.333,0.0,0.0,0.333,55-64,male,saguenay_lac_saint_jean
69384167577,2019-09-16,french,0.0,0.0,0.0,0.0,0.0,0.333,0.0,0.0,0.667,35-44,male,capitale_nationale
30137759785,2019-09-16,french,0.667,1.0,1.0,0.0,1.0,1.0,1.0,0.667,1.0,45-54,female,capitale_nationale
89917028318,2019-09-16,french,0.333,0.667,0.333,0.0,0.0,0.667,0.333,0.0,,25-34,male,cote_nord
69938757761,2019-09-16,french,0.0,0.0,0.0,0.0,0.0,0.333,0.0,0.0,0.333,35-44,female,mauricie
94559861022,2019-09-16,french,0.0,0.0,0.0,0.0,0.0,0.333,0.333,0.0,0.667,25-34,male,capitale_nationale
97698081097,2019-09-16,french,1.0,1.0,0.667,0.333,0.0,0.667,0.667,0.667,1.0,25-34,male,mauricie
40010591843,2019-09-16,french,0.667,0.667,0.667,0.333,0.333,1.0,0.667,0.0,0.667,35-44,male,capitale_nationale
81344326739,2019-09-16,french,0.333,,0.333,0.333,0.0,0.667,0.0,0.0,0.667,25-34,female,montreal
76363830328,2019-09-16,french,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35-44,female,cote_nord
79436546614,2019-09-16,french,0.0,0.333,0.0,0.333,0.0,0.333,0.333,0.0,0.333,45-54,male,capitale_nationale
30281013578,2019-09-16,french,0.0,0.0,0.0,0.0,0.333,0.0,0.0,0.0,0.0,35-44,male,capitale_nationale
91489450294,2019-09-16,french,0.333,0.333,0.667,0.0,0.0,1.0,0.0,0.0,1.0,35-44,female,saguenay_lac_saint_jean
87611646870,2019-09-16,french,0.0,0.0,0.0,0.0,,,0.333,0.333,0.0,65+,female,capitale_nationale
66509549158,2019-09-16,french,0.333,0.0,0.0,0.0,0.0,0.333,0.0,0.0,0.0,55-64,female,centre_du_quebec
23683545047,2019-09-16,french,0.0,0.0,0.333,0.0,0.333,0.667,0.0,0.0,0.333,35-44,female,lanaudiere
95565137740,2019-09-16,french,0.0,0.0,0.0,0.0,0.333,0.333,0.0,0.0,0.333,45-54,male,monteregie
90390430441,2019-09-16,french,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.0,0.667,25-34,male,capitale_nationale
21241071294,2019-09-16,french,0.0,0.0,0.0,0.0,0.333,0.333,0.0,0.0,0.0,55-64,male,capitale_nationale
43158813410,2019-09-16,french,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,55-64,female,montreal
14259010558,2019-09-16,french,0.0,0.0,0.333,0.667,0.0,0.667,0.0,0.333,0.333,45-54,male,cote_nord
61489393346,2019-09-16,english,0.333,0.333,0.333,0.333,0.333,0.667,0.667,0.333,0.333,25-34,male,cote_nord
38717352891,2019-09-16,english,0.0,0.0,0.0,0.333,0.333,0.667,0.0,0.0,0.333,25-34,female,outaouais
84963280572,2019-09-16,french,0.0,0.0,0.333,0.0,0.667,1.0,0.0,0.333,0.0,25-34,male,cote_nord
81611032603,2019-09-16,french,0.0,0.0,0.0,0.333,0.0,0.667,0.0,0.0,0.0,55-64,female,capitale_nationale
49213347358,2019-09-16,french,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45-54,male,outaouais
28852070036,2019-09-16,french,1.0,1.0,1.0,0.333,1.0,1.0,1.0,1.0,1.0,65+,male,nord_du_quebec
95164293890,2019-09-16,french,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35-44,male,mauricie
26494654359,2019-09-16,french,0.0,0.0,,0.667,0.0,,0.0,0.0,,45-54,female,chaudiere_appalaches
15819961742,2019-09-16,french,0.0,0.0,0.0,0.0,0.0,0.333,0.0,0.0,0.0,45-54,male,capitale_nationale
24100016374,2019-09-16,french,0.0,0.0,0.333,0.333,0.333,0.333,0.0,0.0,0.333,35-44,male,nord_du_quebec
37370481633,2019-09-16,french,0.0,0.0,0.0,0.0,0.0,0.333,0.333,0.0,0.333,45-54,male,cote_nord
18295894204,2019-09-16,french,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35-44,male,outaouais
65742898629,2019-09-16,french,0.0,0.0,0.0,0.0,0.333,0.0,0.0,0.0,0.333,55-64,male,chaudiere_appalaches
27984197482,2019-09-16,french,0.333,0.333,0.667,0.0,0.0,1.0,0.333,0.0,0.667,65+,female,mauricie
71135873085,2019-09-16,french,0.0,0.0,,0.0,0.333,0.333,0.0,0.0,,25-34,male,capitale_nationale
31095927422,2019-09-16,french,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25-34,male,nord_du_quebec
55778918070,2019-09-16,french,0.333,0.333,0.0,0.333,0.0,0.667,0.0,0.0,0.333,35-44,male,capitale_nationale
43531117678,2019-09-16,french,0.0,0.0,0.333,0.333,0.333,0.667,0.0,0.0,0.333,25-34,female,cote_nord
64893772665,2019-09-16,french,0.0,0.0,0.0,0.0,0.0,0.667,0.0,0.0,0.0,25-34,female,capitale_nationale
36005110993,2019-09-16,french,0.333,0.333,0.333,0.333,0.0,0.667,0.0,0.333,0.333,25-34,male,bas_saint_laurent
42837433908,2019-09-16,french,0.333,0.0,0.333,0.0,0.333,0.667,0.0,0.0,0.0,35-44,female,bas_saint_laurent
58894758021,2019-09-16,french,0.0,0.0,0.333,0.333,0.0,0.667,0.0,0.333,0.667,25-34,male,capitale_nationale
17680974565,2019-09-16,french,0.333,0.333,0.333,0.0,0.0,0.333,0.0,0.0,0.333,35-44,female,saguenay_lac_saint_jean
77019776951,2019-09-16,french,0.0,0.333,0.0,0.0,0.0,0.667,0.0,0.0,1.0,55-64,female,capitale_nationale
30609542175,2019-09-16,french,0.0,0.0,0.0,0.667,0.333,0.333,0.0,0.0,0.0,35-44,male,saguenay_lac_saint_jean
16326510498,2019-09-16,french,0.0,0.0,0.0,0.0,0.0,0.0,0.667,0.333,0.667,65+,male,montreal
18272481866,2019-09-16,french,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55-64,male,capitale_nationale
82787085223,2019-09-16,french,1.0,1.0,1.0,1.0,1.0,1.0,0.667,0.0,1.0,55-64,male,capitale_nationale
18502953382,2019-09-16,french,0.0,0.0,0.333,0.0,0.0,0.333,0.0,0.0,0.333,65+,male,outaouais
58547930893,2019-09-16,french,0.333,0.333,0.333,0.333,0.333,0.667,0.0,0.0,0.333,25-34,male,cote_nord
19366143258,2019-09-16,french,0.333,0.333,,0.333,0.333,0.667,0.333,0.333,0.667,35-44,male,cote_nord
17984056531,2019-09-16,french,0.0,0.0,0.0,0.0,0.0,0.333,0.0,0.0,0.0,25-34,,saguenay_lac_saint_jean
57169116040,2019-09-16,french,0.0,0.0,0.0,0.667,1.0,0.667,0.0,0.0,0.0,45-54,female,cote_nord
30479577585,2019-09-16,french,0.0,0.0,0.333,0.0,0.333,0.667,0.0,0.0,0.333,35-44,male,centre_du_quebec
52651417409,2019-09-16,french,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35-44,female,estrie
78039634566,2019-09-16,french,0.333,0.333,0.333,0.0,0.333,0.667,0.333,0.333,0.667,55-64,male,mauricie
43030596861,2019-09-16,french,0.0,0.0,0.0,0.333,0.0,0.667,0.0,0.0,0.0,25-34,male,capitale_nationale
20514572556,2019-09-16,french,0.667,0.333,0.667,0.0,0.333,1.0,0.333,0.333,,65+,female,cote_nord
81600575918,2019-09-16,english,0.333,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,55-64,male,monteregie
59328556761,2019-09-16,french,0.0,0.0,0.333,0.0,1.0,1.0,0.0,0.0,0.0,45-54,female,capitale_nationale
90906138831,2019-09-16,french,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.0,0.667,25-34,female,cote_nord
78696739730,2019-09-16,french,0.0,0.333,0.333,0.0,0.333,0.667,0.0,0.0,0.333,25-34,female,monteregie
44619054680,2019-09-16,french,0.667,0.667,,0.333,0.667,1.0,0.667,0.333,1.0,35-44,male,capitale_nationale
53310051104,2019-09-16,french,0.0,0.0,0.0,0.0,0.0,0.333,0.0,0.0,0.0,65+,female,capitale_nationale
76441225700,2019-09-16,french,0.0,0.0,0.0,0.667,1.0,0.0,0.333,0.0,0.0,65+,male,nord_du_quebec
69463649260,2019-09-16,french,0.667,0.667,1.0,0.333,0.333,1.0,0.333,0.667,1.0,55-64,female,capitale_nationale
