id_respondent,weight_main,ses_gender,ses_age,ses_age_category,ses_language,ses_ethnicity,ses_education,ses_income_household,ses_occupation,ses_region,ses_born_canada,ses_marital_status,ses_union_member,ses_household_size,ses_homeowner,ses_children_home,ses_religion,ses_religiosity,ses_region_administrative,tech_sample_type,ses_spouse_union_member,op_interest_politics,op_follow_campaign,op_care_election_outcome,op_satisfaction_democracy,op_trust_government,op_politics_too_complicated,behav_vote_turnout_2007,behav_vote_choice_provincial,behav_vote_choice_federal,behav_vote_certainty,behav_vote_decision_timing,behav_vote_considered_other_party,behav_campaign_interest,behav_vote_frequency,behav_contacted_by_party,behav_tried_convince_others,behav_attended_political_events,behav_political_donation,behav_signed_petition,behav_boycott_products,behav_protest_participation,behav_union_household,behav_party_identification_provincial,behav_party_identification_federal,op_rating_leader_1,op_rating_leader_2,op_rating_leader_3,op_rating_leader_4,op_rating_leader_5,op_rating_entity_1,op_rating_entity_2,op_rating_entity_3,op_rating_entity_4,op_rating_entity_5,op_rating_institution_1,op_rating_institution_2,op_sovereignty,op_referendum_vote,op_referendum_certainty,op_issue_position_1,op_issue_position_2,op_issue_position_3,op_attitude_1,op_attitude_2,op_voting_duty,op_attitude_4,op_government_responsiveness,op_mps_lose_touch,op_attitude_7,op_attitude_8,op_government_intervention,op_left_right_position,op_redistribution,op_environment_economy,op_attitude_minorities,op_immigration_level,op_attitude_13,op_attitude_14,op_attitude_15,op_attitude_16,op_attitude_17,op_issue_importance_1,op_issue_importance_2,op_issue_importance_3
12,1.1706970930099487,female,69.0,65_plus,french,canadian_quebecois,college_cegep,,employed,32,1.0,single,,1_person,0.0,children_18_plus,protestant,1.0,other_regions,type_1,,1.0,1.0,1.0,1.0,1.0,0.33,1.0,adq,liberal,1.0,0.75,0.67,1.0,1.0,0.33,0.67,0.33,1.0,0.0,1.0,0.33,0.0,pq,,0.15,1.0,0.04,0.1,0.2,0.06,1.0,0.05,0.07,0.1,0.9,0.65,1.0,,0.67,1.0,0.67,0.33,0.33,0.67,1.0,0.0,0.0,0.67,0.67,0.0,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.83,0.83,0.83
13,0.5535573959350586,female,62.0,55_64,french,canadian_quebecois,bachelor,40k_to_60k,self_employed,14,1.0,widowed,1.0,5_plus_persons,0.0,children_18_plus,other_christian,0.5,quebec_city,type_1,,1.0,1.0,0.67,1.0,1.0,0.33,1.0,plq,ndp,1.0,0.5,1.0,0.67,0.5,0.33,0.67,0.67,0.0,,0.0,0.67,0.0,pq,ndp,0.2,0.6,0.7,0.6,0.5,0.4,0.4,0.75,0.65,0.4,0.65,0.65,0.0,1.0,0.0,0.67,1.0,0.67,0.67,0.33,1.0,0.0,0.67,0.33,0.0,0.0,0.6,0.8,0.6,0.2,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.83,0.67,0.67
14,1.2432608604431152,female,50.0,45_54,french,canadian_quebecois,college_cegep,20k_to_40k,employed,26,1.0,widowed,0.0,2_persons,1.0,children_under_18,no_religion,0.0,montreal,type_1,,1.0,1.0,0.67,1.0,1.0,0.67,1.0,pq,ndp,0.67,1.0,1.0,0.67,1.0,0.67,0.67,0.33,1.0,0.0,1.0,0.67,1.0,pq,ndp,0.35,0.6,0.55,,0.5,0.2,0.5,0.6,,,0.3,0.6,0.0,,0.33,0.67,1.0,0.67,0.67,0.67,1.0,0.33,0.33,0.67,0.33,0.0,0.8,0.8,0.6,0.2,0.6,0.6,0.8,0.8,0.6,0.6,0.6,0.67,0.67,0.67
15,1.889244079589844,female,36.0,35_44,french,canadian_quebecois,high_school,,homemaker,26,1.0,divorced_separated,1.0,1_person,1.0,no_children,other_christian,0.0,,type_1,,1.0,1.0,0.0,1.0,1.0,1.0,1.0,plq,bloc,0.67,0.75,1.0,1.0,1.0,1.0,1.0,0.33,1.0,0.0,0.0,0.0,1.0,adq,,0.05,0.07,0.09,0.05,0.05,0.07,0.09,0.1,0.05,0.1,0.09,0.1,1.0,1.0,0.67,0.67,1.0,1.0,1.0,1.0,0.67,1.0,0.67,1.0,1.0,1.0,0.8,0.8,0.6,0.6,0.6,0.6,0.6,0.8,0.8,0.6,0.8,0.67,0.67,0.83
16,3.615523815155029,female,22.0,18_24,french,canadian_quebecois,bachelor,,retired,8,1.0,widowed,0.0,3_4_persons,1.0,no_children,protestant,0.5,other_regions,type_1,,1.0,1.0,0.67,0.67,0.67,0.67,1.0,plq,conservative,0.67,0.5,1.0,0.33,1.0,0.67,0.67,0.33,0.0,0.0,0.0,0.33,0.0,pq,ndp,0.0,0.7,0.9,,,0.0,0.8,0.95,,,0.8,1.0,1.0,,0.67,1.0,0.67,0.0,0.33,0.67,1.0,0.67,0.67,0.67,0.67,0.67,0.6,0.6,,,,0.6,0.6,0.6,,,0.8,0.67,0.67,0.67
17,1.1706970930099487,female,79.0,65_plus,french,canadian_quebecois,elementary,under_20k,self_employed,32,1.0,single,0.0,1_person,1.0,no_children,catholic,1.0,,type_1,,1.0,0.67,1.0,1.0,0.67,0.67,1.0,adq,liberal,1.0,1.0,1.0,0.67,1.0,0.67,0.67,1.0,1.0,,0.0,0.67,0.0,plq,,0.75,0.5,0.25,0.5,0.25,0.65,0.7,0.8,0.3,0.25,0.0,0.4,1.0,1.0,0.67,1.0,1.0,0.67,0.33,0.0,0.33,1.0,1.0,1.0,0.67,0.67,0.8,,0.6,,1.0,1.0,1.0,0.6,1.0,,1.0,0.67,0.67,1.0
18,1.2432608604431152,female,49.0,45_54,french,canadian_quebecois,high_school,20k_to_40k,homemaker,26,1.0,divorced_separated,1.0,5_plus_persons,1.0,no_children,catholic,0.5,montreal,type_1,,1.0,1.0,0.67,0.67,1.0,0.67,1.0,plq,ndp,0.67,1.0,0.33,1.0,0.5,0.67,1.0,0.33,1.0,0.0,1.0,0.67,1.0,plq,,0.75,0.3,0.5,,,0.7,0.3,0.5,,,0.1,0.4,0.0,0.0,0.0,0.67,0.67,0.67,0.33,0.0,0.33,0.67,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.8,1.0,0.6,1.0,0.6,1.0,1.0,0.6,1.0,1.0,0.67
19,1.3865697383880615,female,43.0,35_44,french,canadian_quebecois,bachelor,100k_to_120k,employed,17,1.0,divorced_separated,1.0,3_4_persons,0.0,children_under_18,protestant,0.5,other_regions,type_1,,1.0,1.0,0.67,1.0,0.67,0.67,1.0,plq,ndp,0.33,0.75,1.0,0.33,1.0,0.67,0.67,0.33,0.0,0.0,0.0,0.67,1.0,pq,ndp,0.6,0.9,0.7,0.7,0.5,0.6,0.6,0.7,0.8,0.6,0.75,0.8,0.0,1.0,0.67,0.67,0.67,0.33,0.33,0.33,1.0,0.67,0.67,0.67,0.67,0.33,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.83,0.67,0.83
20,0.3281298279762268,male,29.0,25_34,french,canadian_quebecois,bachelor,100k_to_120k,employed,3,1.0,divorced_separated,1.0,3_4_persons,0.0,children_18_plus,protestant,0.0,other_regions,type_1,,0.67,0.67,0.33,1.0,0.67,1.0,1.0,qs,conservative,0.67,0.75,1.0,0.0,1.0,0.33,0.33,0.67,,,0.0,0.67,1.0,pq,,0.6,0.8,0.4,0.75,0.75,0.5,0.8,0.3,0.6,,0.6,0.6,0.0,1.0,0.33,0.67,0.33,0.33,1.0,0.67,1.0,0.33,0.33,1.0,1.0,0.0,,0.8,1.0,0.2,0.8,0.8,0.8,0.8,0.8,1.0,0.4,0.83,0.5,0.5
21,0.7738205194473267,male,56.0,55_64,french,canadian_quebecois,bachelor,over_150k,employed,16,1.0,widowed,1.0,3_4_persons,1.0,no_children,,,quebec_city,type_1,1.0,0.67,0.33,0.33,0.67,0.67,0.0,1.0,adq,liberal,0.67,0.5,0.67,0.67,0.5,0.67,1.0,0.33,1.0,1.0,1.0,0.33,1.0,adq,,0.4,0.4,0.9,,0.15,0.35,0.4,0.9,,,0.0,0.5,1.0,0.0,0.0,0.67,1.0,0.0,1.0,0.0,1.0,0.0,0.67,0.0,1.0,0.0,0.6,0.6,1.0,,0.6,0.6,,0.8,,0.6,0.6,0.67,0.67,0.67
22,0.3228451609611511,female,78.0,65_plus,french,canadian_quebecois,high_school,,self_employed,3,1.0,divorced_separated,0.0,2_persons,1.0,no_children,catholic,0.5,montreal,type_1,,1.0,1.0,1.0,1.0,1.0,0.67,1.0,plq,ndp,1.0,1.0,0.67,1.0,0.5,0.67,1.0,0.67,1.0,1.0,1.0,0.67,1.0,plq,ndp,0.75,0.0,0.25,0.0,0.1,0.75,0.4,0.6,0.5,,0.5,0.6,,1.0,0.0,0.67,1.0,0.67,1.0,1.0,1.0,0.67,1.0,1.0,,0.33,1.0,1.0,1.0,,,,1.0,,,,,1.0,,0.67
23,0.9163962006568908,male,46.0,45_54,french,canadian_quebecois,high_school,20k_to_40k,employed,6,1.0,widowed,1.0,3_4_persons,0.0,no_children,other_christian,0.0,montreal,type_1,,1.0,1.0,1.0,1.0,0.67,0.67,1.0,plq,conservative,0.67,0.75,0.67,1.0,0.5,0.67,1.0,0.33,1.0,0.0,1.0,1.0,1.0,adq,liberal,0.7,0.6,0.8,0.6,0.06,0.7,0.7,0.9,0.5,0.05,0.0,0.7,1.0,1.0,0.0,0.67,0.33,0.33,0.33,0.0,1.0,,1.0,0.0,0.0,0.0,0.6,0.6,0.8,0.6,0.6,0.6,0.8,0.8,,0.6,0.6,0.83,0.67,0.67
24,1.1433428525924685,male,51.0,45_54,french,canadian_quebecois,high_school,20k_to_40k,employed,26,1.0,divorced_separated,1.0,3_4_persons,0.0,children_under_18,catholic,0.5,montreal,type_1,,0.67,0.67,0.67,0.67,0.67,0.33,1.0,plq,,0.67,0.75,0.67,0.67,0.5,0.67,0.67,0.33,1.0,0.0,1.0,0.67,0.0,adq,,0.6,0.25,0.4,0.1,0.05,0.5,0.3,0.5,0.2,0.1,0.4,0.5,1.0,0.0,0.33,1.0,0.67,0.33,0.33,1.0,0.33,0.33,0.33,0.67,0.67,0.33,1.0,1.0,1.0,1.0,1.0,0.6,1.0,,1.0,0.6,0.6,1.0,,1.0
25,1.3550678491592407,male,33.0,25_34,french,canadian_quebecois,high_school,100k_to_120k,employed,15,1.0,widowed,1.0,3_4_persons,0.0,children_under_18,protestant,0.5,other_regions,type_1,,0.67,1.0,1.0,1.0,1.0,0.33,1.0,plq,ndp,1.0,1.0,0.67,0.33,1.0,1.0,1.0,0.33,1.0,1.0,1.0,0.0,1.0,qs,conservative,0.2,0.8,0.25,0.9,0.7,0.2,0.55,0.35,0.85,0.65,0.75,0.5,0.0,1.0,,1.0,0.33,0.33,0.67,0.67,1.0,0.33,0.67,0.67,0.67,0.0,0.4,0.8,1.0,0.4,0.4,0.4,0.4,0.8,0.4,0.6,0.4,0.5,0.5,0.5
26,0.7705016136169434,female,57.0,55_64,french,canadian_quebecois,elementary,under_20k,employed,17,1.0,married,1.0,1_person,1.0,children_under_18,other_religion,0.0,,type_1,,1.0,0.67,0.67,1.0,0.67,0.67,1.0,plq,other,0.0,0.75,0.67,0.67,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.33,0.0,adq,,0.07,0.1,0.25,0.05,0.03,0.1,0.5,0.75,0.25,0.35,0.25,0.5,0.0,0.0,0.33,,0.67,0.67,0.33,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.6,0.6,0.6,0.8,0.6,0.6,0.8,0.8,0.6,0.6,0.6,0.67,0.67,0.83
27,1.3116263151168823,female,65.0,55_64,french,canadian_quebecois,bachelor,40k_to_60k,self_employed,1,1.0,single,0.0,2_persons,0.0,children_under_18,catholic,0.5,montreal,type_1,,0.67,0.67,0.67,0.67,0.67,1.0,1.0,adq,liberal,1.0,0.5,0.33,0.67,0.5,0.67,0.67,0.67,1.0,0.0,0.0,0.67,1.0,plq,ndp,0.8,0.6,0.3,0.3,0.1,0.85,0.6,0.85,0.03,,0.75,0.75,1.0,,0.0,1.0,1.0,0.67,1.0,1.0,1.0,1.0,0.67,1.0,0.33,0.67,1.0,1.0,0.6,0.2,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0,1.0,0.67
28,1.1433428525924685,male,48.0,45_54,french,canadian_quebecois,bachelor,20k_to_40k,employed,25,1.0,widowed,1.0,,0.0,children_under_18,protestant,1.0,other_regions,type_1,,1.0,1.0,1.0,1.0,1.0,0.33,1.0,adq,bloc,1.0,1.0,1.0,1.0,1.0,0.67,0.67,0.0,0.0,0.0,1.0,0.33,1.0,pq,ndp,0.0,0.7,0.5,0.75,0.2,0.0,0.7,0.7,0.75,0.2,0.9,0.9,0.0,1.0,1.0,1.0,1.0,0.0,0.33,0.67,1.0,0.0,0.0,1.0,1.0,1.0,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.6,0.8,0.83,0.83,0.67
29,0.3281298279762268,male,32.0,25_34,french,canadian_quebecois,high_school,20k_to_40k,employed,3,1.0,divorced_separated,0.0,5_plus_persons,1.0,children_under_18,other_christian,0.5,quebec_city,type_1,,1.0,1.0,0.33,0.33,0.67,1.0,1.0,adq,conservative,0.67,0.75,1.0,0.33,0.5,0.67,0.67,0.0,1.0,0.0,1.0,0.33,1.0,adq,,0.0,0.0,0.8,0.0,0.0,0.4,0.6,0.8,,,0.7,0.8,1.0,1.0,0.0,1.0,0.67,0.33,0.33,0.0,0.33,1.0,1.0,0.33,0.33,0.33,0.6,0.6,0.6,0.8,0.6,0.6,0.6,0.8,0.6,0.6,0.6,0.67,0.67,0.67
30,0.8410736918449402,female,66.0,65_plus,french,canadian_quebecois,bachelor,40k_to_60k,self_employed,15,1.0,widowed,,5_plus_persons,0.0,children_under_18,catholic,0.0,montreal,type_1,,0.33,0.0,0.0,0.67,1.0,1.0,1.0,adq,liberal,0.67,0.5,0.33,0.67,0.5,1.0,1.0,0.33,1.0,0.0,1.0,0.33,1.0,plq,,0.8,0.4,0.39,0.25,0.05,0.7,0.3,0.24,0.5,0.4,0.0,0.95,1.0,1.0,0.0,0.0,1.0,0.67,0.33,1.0,0.33,0.0,1.0,1.0,0.0,1.0,,,,,,1.0,0.4,1.0,,1.0,,1.0,,0.5
31,0.8410736918449402,female,65.0,55_64,french,canadian_quebecois,graduate,40k_to_60k,self_employed,6,1.0,widowed,0.0,3_4_persons,0.0,no_children,protestant,0.5,other_regions,type_1,,1.0,0.67,0.67,1.0,1.0,0.67,1.0,pq,ndp,0.67,1.0,0.67,1.0,1.0,0.67,0.67,0.67,1.0,0.0,0.0,0.67,1.0,other,conservative,0.4,0.8,0.5,,0.2,0.6,0.7,0.7,0.6,0.5,0.7,0.7,0.0,1.0,0.67,0.67,0.67,0.67,0.33,0.67,1.0,0.33,0.67,0.67,0.67,0.33,1.0,0.8,1.0,0.2,1.0,0.6,0.8,0.8,0.8,0.8,0.6,1.0,0.67,0.67
32,0.3281298279762268,male,27.0,25_34,french,canadian_quebecois,college_cegep,under_20k,employed,3,1.0,widowed,1.0,5_plus_persons,0.0,no_children,,,monteregie,type_1,,1.0,1.0,0.67,0.67,0.33,0.0,0.0,qs,liberal,0.67,0.75,0.67,1.0,0.5,0.67,1.0,0.0,0.0,0.0,1.0,0.67,0.0,,,0.0,0.05,0.25,,0.0,0.0,0.1,0.5,,,0.0,0.65,0.0,,0.0,0.67,0.67,1.0,0.67,0.33,1.0,0.0,0.67,0.33,0.67,0.33,,,0.6,,,,,,0.6,,,0.17,0.67,0.67
33,1.3492573499679563,female,31.0,25_34,french,canadian_quebecois,high_school,20k_to_40k,employed,5,1.0,single,0.0,3_4_persons,0.0,children_under_18,other_christian,0.5,,type_1,,1.0,1.0,0.67,1.0,1.0,0.67,1.0,,conservative,1.0,0.75,0.67,,0.5,1.0,1.0,0.33,1.0,0.0,1.0,0.33,0.0,adq,,0.3,0.4,0.7,,0.1,0.2,0.3,0.75,,,0.4,0.75,0.0,,0.0,0.67,0.33,1.0,0.67,0.0,1.0,1.0,0.33,0.67,0.33,0.0,,1.0,,,,0.6,0.6,0.6,0.6,,,0.67,0.67,0.67
34,0.9163962006568908,male,46.0,45_54,french,canadian_quebecois,graduate,over_150k,employed,16,1.0,common_law,0.0,2_persons,1.0,children_18_plus,catholic,0.5,quebec_city,type_1,,0.67,0.67,0.33,0.67,0.67,1.0,1.0,pq,liberal,0.33,0.5,0.33,0.33,0.5,1.0,0.33,0.67,1.0,,0.0,0.67,0.0,plq,ndp,0.75,0.4,0.6,0.4,0.4,0.75,0.5,0.6,0.4,0.6,0.4,0.6,0.0,1.0,0.0,0.67,0.33,0.0,1.0,1.0,0.67,0.67,0.67,0.67,0.67,0.33,1.0,0.8,1.0,1.0,1.0,1.0,0.8,0.8,1.0,1.0,1.0,1.0,1.0,0.67
35,0.9654632806777954,male,59.0,55_64,french,canadian_quebecois,high_school,60k_to_80k,employed,24,1.0,widowed,0.0,5_plus_persons,1.0,children_under_18,,,other,type_1,0.0,0.67,1.0,0.67,0.67,0.67,0.67,1.0,plq,ndp,0.67,0.75,0.67,0.67,0.5,1.0,0.67,0.0,1.0,0.0,1.0,0.33,1.0,other,,0.0,0.0,0.0,0.0,0.0,0.02,0.5,0.5,,,0.5,0.5,0.0,0.0,0.33,0.67,1.0,1.0,0.67,0.0,0.33,0.0,0.0,1.0,0.67,0.0,,,,,0.6,0.6,0.6,,,,,0.17,0.17,0.67
36,0.2516313791275024,female,50.0,45_54,french,canadian_quebecois,bachelor,over_150k,employed,3,1.0,widowed,1.0,3_4_persons,0.0,no_children,,,,type_1,,1.0,1.0,1.0,0.67,1.0,0.33,1.0,plq,ndp,0.33,1.0,0.33,0.33,,0.67,0.67,0.0,1.0,0.0,1.0,0.33,0.0,,,0.6,0.6,0.6,0.6,0.6,0.4,0.52,0.64,0.8,0.8,0.75,,0.0,,0.0,,0.33,1.0,0.33,0.0,1.0,,0.67,,0.33,0.0,,,,0.2,0.4,0.4,0.4,0.8,,,0.4,0.5,0.5,0.5
37,2.6271798610687256,female,37.0,35_44,other,,bachelor,,employed,6,0.0,married,,2_persons,0.0,children_18_plus,catholic,0.0,montreal,type_1,,1.0,1.0,0.67,1.0,,1.0,0.0,adq,conservative,1.0,1.0,0.67,,0.5,0.33,0.67,0.33,0.0,0.0,1.0,0.33,1.0,,,0.45,0.0,0.0,0.0,0.0,0.04,0.04,0.0,0.0,0.04,0.4,,0.0,1.0,0.33,0.67,0.67,0.33,0.33,0.33,1.0,0.67,,0.67,0.67,0.33,,,,,,1.0,,,1.0,,1.0,1.0,,1.0
